场景,话术,越南文修正
洗投资,"Đầu tư luôn có rủi ro. Nhưng nếu hôm nay không dám mạo hiểm, mình sẽ chẳng gặt hái được gì. 
Vậy nên, hãy đầu tư: phải có lợi nhuận và hoàn vốn, đồng thời không ngừng học hỏi để phát triển bản thân!",
洗投资,"Cưng à, giờ là thời đại Internet rồi, bạn phải thử đầu tư mấy loại tiền tệ, để cuộc sống thêm phong phú.",
洗投资,"Mình cảm thấy mọi khoảnh khắc trong đời đều là để học hỏi. Mình nghĩ cái gì cũng nên học, học hết mình. Học hết mọi thứ chỉ có lợi, không hại gì cả.",
洗投资,"Mình thích làm mấy thứ như vậy. Vì mình thấy nó mang lại lợi ích, nên mình thích. Nếu nó không có lợi, mình sẽ chẳng hứng thú.",
洗投资,"Vì vậy mình mong cả hai đều cùng kiếm tiền. Khi có đủ tiền, mình sẽ không phải lo lắng mãi chuyện tiền nong, chỉ còn tận hưởng cuộc sống.",
洗投资,"Đây là một phần không thể thiếu trong cuộc sống mình. Nếu bạn muốn hiểu về mình, bạn phải hiểu từng góc nhỏ trong cuộc sống mình. 
Chia sẻ mọi thứ với nhau là điều quan trọng nhất. Mình không ép bạn đầu tư làm “side hustle” cùng mình, 
chỉ đơn giản nghĩ là khi cả hai cùng làm một chuyện thì mối quan hệ sẽ gắn kết hơn, lại còn lời.",
洗投资,"Mình biết bạn thông minh, và mình tin bạn cũng hiểu người thông minh là người biết nắm bắt cơ hội. 
Trong xã hội này, người giàu không giàu vì họ chăm chỉ hơn, mà vì họ biết bắt đúng cơ hội.",
洗投资,"Can đảm quyết định tài sản của em, không dám mạo hiểm thì thất bại lớn nhất là không dám bắt đầu;
 thành công của người ta thường bị hoàn cảnh thôi thúc, bước một là vượt qua ranh giới rồi – không thử sao biết mình làm được không.",
洗投资,"Thành công không phải có tiền rồi mới dám làm, mà phải dũng cảm rồi tiền mới đến;
 nếu hôm nay còn nghèo vì em nghi ngờ mọi thứ, không dám thử thì chẳng làm nên trò trống gì.",
洗投资,"Không cố gắng, đàn ông chờ đến cùng chỉ hút khói rẻ tiền và làm mệt nhọc; phụ nữ không cố gắng chỉ quanh quẩn hàng chợ và mặc đồ lề đường.",
洗投资,"Tại sao phải kiếm tiền? Vì nhà hàng Michelin ngon hơn quán ven đường, túi LV sang hơn đồ chợ, Cartier hay Bvlgari không thể so hàng xách tay, 
hạng thương gia thoải mái hơn phổ thông; đi chơi có một triệu đồng hay một tỷ đồng là khác biệt. Khi em xuất sắc và rủng rỉnh, 
cả thế giới sẽ nhường đường, mua gì cũng chỉ cần thích, làm gì cũng có tự tin và phẩm giá.",
洗投资,"Bạn nghĩ xem, nếu biết đầu tư, biết quản lý tài chính, thì coi như lợi nhuận tăng gấp đôi, mà lại không mất thời gian, không phí phạm tài nguyên hay tuổi trẻ của mình.",
洗投资,"Học đầu tư, học quản lý tài chính thì cũng cần có người hướng dẫn, chứ giờ nhiều người không biết làm thì chỉ còn cách đi làm thuê, thành nô lệ của tiền bạc thôi.",
洗投资,"Bây giờ là thời đại Internet, nhiều người kiếm tiền, đầu tư, quản lý tài chính online còn tốt hơn đi làm công, thậm chí không đầu tư cũng có thể kiếm được; chỉ là tư duy khác nhau mà thôi.",
包装自己,"Thật ra thế hệ chúng ta, nhiều ước mơ và hoài bão đều dồn lên con cái, nhưng mình không muốn chúng và bố mẹ phải vất vả, nên chọn cách tự nỗ lực để họ có cuộc sống tốt hơn.",
包装自己,"Người ta sống là để “đốt cháy” chính mình; nếu cố gắng đúng cách sẽ thành công, dù không thành công thì cũng không hổ thẹn với bản thân. Đã trẻ thì phải hết mình, chứ đến lúc già rồi còn chẳng có sức lực. Mình luôn tin “không gục ngã là còn sống,” sống đến già vẫn phải học.",
包装创业经历,"Vòng kết nối cấp thấp là thế này: khi bạn bắt tay khởi nghiệp, chẳng ai ủng hộ, chỉ biết nói bạn làm không được; nhưng khi bạn thành công rồi thì ai cũng đến nịnh để được “cõng” theo. Đó là bản chất con người, chẳng ai muốn thấy người khác sống tốt hơn mình.
",
洗投资,"Ví dụ như dân công sở: bảo họ đi đầu tư tài chính, họ sẽ nghĩ bạn lừa đảo, cho rằng bạn định hại họ; suốt đời họ chỉ nghĩ kiếm tiền bằng sức lao động, còn người giàu thì dùng tiền để sinh ra tiền.",
包装自己,"Quan hệ xã hội quan trọng nhất ở sự chân thành, và phải xuất phát từ trái tim. Chân thành là thanh gươm lợi hại nhất, đi đâu cũng nên mang theo.",
