缩写,全写,描述（中文）,描述（Tiếng Việt）
a,anh,哥哥；你；我,anh trai; bạn; tôi
e,em,弟弟；我；我,em trai; tôi; tôi
m,mày,你,bạn (mày)
m,mình,我,tôi
c,chị,姐姐；你；我,chị gái; bạn; tôi
t,tôi /tui,我,tôi / tui
b,bạn,你,bạn
ace,anh chị em,兄弟姐妹,anh chị em
tg,thời gian,时间,thời gian
1 tr,1 triệu,1百万,1 triệu
nyc,người yêu cũ,前男/女朋友,người yêu cũ
nym,người yêu mới,现任男/女朋友,người yêu mới
hq,hôm qua,昨天,hôm qua
bn,bao nhiêu,多少,bao nhiêu
bao nhiu,bao nhiêu,多少,bao nhiêu
nhìu,,很多;非常,nhiều; rất
wá,quá,太;太………………(夸张),quá; rất...
cg,cùng,也,cũng
gd,giáo dục,教育,giáo dục
gđ,giám đốc,经理,giám đốc
tm,thương mại,商贸,thương mại
sđt,số điện thoại,电话号码,số điện thoại
kcj,không có gì,没关系,không có gì
ng,người,人,người
kb,không biết,不知道,không biết
ui,ơi,呐,ơi
fai,phải,对的；是的,phải; đúng
zia,về,回,về
gđ,gia đình,家庭,gia đình
hỉu,hiểu,理解,hiểu
VN,Việt Nam,越南,Việt Nam
TQ,Trung Quốc,中国,Trung Quốc
mik,mình,我,tôi
lj,làm gì,做什么,làm gì
cv,công việc,工作,công việc
ls,làm sao,怎么,làm sao
htrc,hôm truóc,前几天;前一天,hôm trước
stt,số thứ tự,序号；编号,số thứ tự
tdtt,thể dục thể thao,体育体操,thể dục thể thao
tp,thành phố,城市,thành phố
ttx,thông tấn xã,通讯社,thông tấn xã
tw,trung ương,中央,trung ương
vp,văn phòng,办公室,văn phòng
Ak,ah, ahh,啊,ah, ahh
au,đâu,哪,đâu
J,gì,什么,gì
Jau,lâu,久,lâu
Ns ch,nói chuyen,聊天,nói chuyện
Nt,nhắn tin,发信息,nhắn tin
Ntn,như thế nào,怎么样,như thế nào
Nv,như vậy,像这样,như vậy
NY,người yêu,爱人,người yêu
Ua,uh,嗯哼,uh
Wen,quên,忘记,quên
Z=zay=vậy,如此,vậy
Zề gì,什么,gì
Zìa=về,回,về
Zô,uống,喝。,uống
sp,sản phẩm,产品,sản phẩm
J,gì,什么,gì
cty,công ty,公司,công ty
ct,chia tay,分手,chia tay
vs,và/với,和，与,và/với
cx,cũng,也,cũng
G9,ngủ ngon,,ngủ ngon
uk,ǔ,是;好的,ừ; tốt
hn,hôm nay,今天,hôm nay
bh,bây giờ,现在,bây giờ
bít,biết,知道,biết
ms,mới,才；新的,mới
đc,được,可以,được
ko/k,không,不,không
ck,chồng,老公,chồng
ck,chuyển khoản,转账,chuyển khoản
đt,điện thoại,电话,điện thoại
ny,người yêu,爱人,người yêu
vk,vợ,妻子,vợ
ns,nói,说,nói
k,nghìn,千,nghìn
iu,yêu,爱,yêu
thik,thích,喜欢,thích
đg,đang,正在,đang
lm,làm,做,làm
uog,uống,喝,uống
vậy,v,这样；呀,vậy
r,rồi,了；然后,rồi
ak,à,啊,à
nch,nói chung,一般来说/总的来说,nói chung
uh,ừ,额，恩,ừ
cb,chuẩn bị,准备,chuẩn bị
mún,muón,想要,muốn
bik,biêt,知道(可爱),biết
mi,mấy,几个,mấy
nc,nói chuyện,说话，聊天,nói chuyện
kh,khách hàng,客户,khách hàng
XL,xin lỗi,对不起,xin lỗi
SCĐ,Sao cũng được,都可以,Sao cũng được
PK,phải không,是吗,phải không
SX,sắp xếp,安排,sắp xếp
vc,vợ chông,妻子和丈夫;已婚夫妇,vợ chồng
ox,ông xã,丈夫,ông xã
bx,bà xã,妻子,bà xã
bth,bình thường,正常;通常情况下,bình thường
ib,inbox,私聊；发消息,inbox
avt,ảnh đại diện,头像,ảnh đại diện
ad,admin,管理员,admin
adu,trời ơi,天啊！（感叹）,trời ơi!
ck iu,chồng yêu,老公（亲昵称呼）,chồng yêu
vk iu,vợ yêu,老婆（亲昵称呼）,vợ yêu
ph,phút,分钟,phút
bh,bây giờ,现在,如今,bây giờ
bjo,bây giờ,现在,如今,bây giờ
mn,mọi người,大家,mọi người
mk,mật khẩu,密码,mật khẩu
ntnt,nhắn tin nhé,发信息吧,nhắn tin nhé
kb fb,kết bạn Facebook,加FB好友,kết bạn Facebook
rùi,rồi,了；已经,rồi
qtr,quan trọng,重要的,quan trọng
cn,chủ nhật,星期天,chủ nhật
tks,thank you,谢谢（英语借词）,thank you
kq,kết quả,结果,kết quả
hnay,hôm nay,今天,hôm nay
Kết,对某人感兴趣,,hứng thú với ai
Cảm nắng,中暑(迷恋某人),,say nắng (phải lòng ai)
mai,ngày mai,明天,ngày mai
cj,chị,姐姐（口语teencode形式）,chị
a/c,anh/chị,哥哥/姐姐,anh/chị
Cắm sừng,戴绿帽,,Cắm sừng
Đồ,跌倒/崩溃(爱上某人),,Đồ (ngã/yêu sập)
Thả thính,调情,,Thả thính
Rắc thính,调情,,Rắc thính
plz,please,拜托啦（英语网络语）,please
kb zalo,kết bạn zalo,加zalo好友,kết bạn zalo
ib liền,inbox liền,马上发私信,inbox liền
