大标题_cn,大标题_vi,小标题_cn,小标题_vi,话题,对方 phía bên kia,1-5评分（Đánh giá giống con người）,备注（Điều gì làm dấy lên nghi ngờ về AI）,类型分类,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",1.,1.,"Chào a nè, a tên gì dzậy ạ",,,,1.工作/职位/工作年限,可以用于更高级的方式，例如通过购买别墅或公寓来结交朋友。 （昨天有人介绍你的脸书给我买公寓）
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",1.,1.,Tên fb của a có phải tên gọi hằng ngày của a ko á,,,,2.家庭情况/家庭成员,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",1.,1.,"A sn bao nhiêu vậy nè, nhìn a chững chạc thế kia e đoán tầm 35t đúng ko a? E đoán đại thôi đừng có giận e đó nha hihi :))",,,,3.年龄,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",1.,1.,"Nhà a ở SG lun hay đang làm việc ở đó vậy nè, e quê miền tây nhưng mà giờ e đang làm việc ở SG",,,,4.兴趣爱好,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",1.,1.,"E tò mò xíu, a làm cv gì dzạ? Nhìn a trắng trẻo thư sinh quá, chắc làm văn phòng hay làm cv nhẹ nhàng trong máy lạnh hen",,,,5.婚姻状况,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",1.,1.,"Mà a đi làm xa zậy, ở nhà ba mẹ có ai chăm lo hông? A có mấy a chị e lận, a đang ở chung nhà hay ở riêng rùi á",,,,6.子女情况,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,"Dạ chào a, e hông biết mở lời sao cho tự nhiên nữa… nhưng mà… thấy a dễ mến quá nên e mới dám nhắn nè 😳",,,,7.姓名,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,"A cho e xin phép hỏi, a tên gì dzậy ạ?",,,,8.家乡,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,Tên fb là tên thiệt hay để vậy cho ngầu á a 😄,,,,9.所在地,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,Nhìn a vậy chắc cũng ngoài 30 hông a..E đoán đại chớ trúng thì hên nhen hihi,,,,10.美食/食物爱好,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,"Chững chạc, phong độ mà vẫn có nét hiền ghê luôn á nha",,,,11.找共同话题,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,A ở SG lun hay đang làm việc trên đó thôi vậy nè?,,,,12.树立自身形象,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,"E thì dân miền Tây chính hiệu, mà giờ e lên SG làm ăn rồi á, lâu lâu có đám tiệc mới về quê",,,,13.喜欢的旅行地点,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,Nhìn a phong độ quá trời chắc làm chủ cả hoặc sếp lớn gì ở trên đây đúng hem nè :)),,,,14.梦想,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",2. ,2. ,"Mà a đi làm vậy rồi nhà cửa ai lo, ba mẹ a ở với ai dzạ? A ở riêng hay còn chung với gia đình nè",,,,15.音乐/电影,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,Dạ em chào a… thấy fb a kiểu gì đó làm người ta muốn bắt chuyện thử á 😇,,,,16.分享心情,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,Không biết a có phiền không nếu e hỏi tên a là gì nè,,,,17.今日天气,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,"Nhìn a có vẻ điềm đạm lắm luôn á, a sn bao nhiêu ý",,,,18.今天做了某事/计划某事,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,Đẹp trai như này chắc nhiều người inbox lắm ha..,,,,19.日常生活习惯,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,"Nói thiệt nha, a là kiểu lướt ngang qua là phải stop lại nhìn lần 2 á 😅",,,,20.健身,
初识问姓名年龄家乡,"Làm quen hỏi tên, tuổi, quê",3.,3.,"A đang sống ở đâu vậy nè.  E thì quê ở miền Tây, nhưng lên SG làm việc mấy năm rùi",,,,21.工作时间/休息时间/生物钟,
